지점,지점명,일시,SPI1,SPI2,SPI3,SPI4,SPI5,SPI6
156,광주,2022-12-31,0.06,-0.09,-0.38,-0.67,-1.34,-1.54
156,광주,2023-01-01,0.02,-0.07,-0.4,-0.67,-1.51,-1.55
156,광주,2023-01-02,0,0,0,0,0,0
156,광주,2023-01-03,0.1,-0.03,-0.21,-0.53,-1.45,-1.47
156,광주,2023-01-04,0.12,-0.04,-0.2,-0.49,-1.52,-1.46
156,광주,2023-01-05,0.25,-0.06,-0.91,-0.5,-1.46,-1.45
156,광주,2023-01-06,0.25,-0.06,-0.9,-1.07,-1.47,-1.46
156,광주,2023-01-07,0.4,0.02,-0.83,-1.48,-1.44,-1.42
156,광주,2023-01-08,0.33,0.01,-0.89,-1.51,-1.41,-1.41
156,광주,2023-01-09,0.34,0.08,-0.88,-1.49,-1.27,-1.43
156,광주,2023-01-10,0.38,0.1,-0.96,-1.42,-1.22,-1.4
156,광주,2023-01-11,0.41,0.15,-1.04,-1.41,-1.16,-1.39
156,광주,2023-01-12,0.38,0.16,-1.03,-1.28,-1.21,-1.42
156,광주,2023-01-13,0.37,-0.48,-0.97,-1.24,-1.16,-1.33
156,광주,2023-01-14,1.13,0.01,-0.31,-0.85,-0.96,-1.18
156,광주,2023-01-15,1.21,0.01,-0.29,-0.79,-0.93,-1.21
156,광주,2023-01-16,1.2,0.01,-0.29,-0.74,-0.92,-1.19
156,광주,2023-01-17,1.16,0.02,-0.29,-0.7,-1.01,-1.14
